workId,lang,decadePrint,decadeFirstPrint,decade,decadeOld,diff,characterId,cl,isGrp,cGrp,persName,roleDesc,sex,age,profession,normalizedProfession,modifier,professionalGroupMethal,professionalGroupNoVal,professionalGroup,profGrpSelected,profGrpCoarse,profGrpCoarser,role,title,socialClassOrig,socialClassAuto,socialClass,cfSoc,origin,raceOrEthnicity,accentDialect,relations,normalizedRelation,genre,comments
104,als,1920,1900,1900,,20,5,1,0,,Abbes,,M,,Lehrbuewe (Schuemacher),shoemaker,,crafts,crafts,crafts,crafts,crafts,bourgeoisie,,,LC,LMC,LC,0,,,,Lehrbuewe(1),apprentice(1),,
104,als,1920,1900,1900,,20,6,1,0,,E Bür,,M,,,,,,,,,,,,,,#N/A,,0,,,,,,,
104,als,1920,1900,1900,,20,7,1,0,,Schaköbel,sin Sohn,M,,,,,,,,,,,,,,#N/A,,0,,,,,,,
104,als,1920,1900,1900,,20,8,1,0,,Mamsell Mirliton,,F,,,,,,,,,,,,,,#N/A,,0,,,,,,,
104,als,1920,1900,1900,,20,9,1,0,,Dorel,Dabezierer,M,,Dabezierer,upholsterer,,crafts,crafts,crafts,crafts,crafts,bourgeoisie,,,LMC,LMC,LMC,0,,,,,,,
104,als,1920,1900,1900,,20,10,1,1,,"E Photograph, e Kollekteur",,M,,,,,,,,,,,,,,#N/A,,0,,,,,,,
104,als,1920,1900,1900,,20,11,0,0,,E Photograph,Photograph,M,,Photograph,photographer,,intermediate professionals,intermediate professions,intermediate professions,intermediate professions,bourgeoisie other,bourgeoisie,,,LMC,LMC,LMC,0,,,,,,,
104,als,1920,1900,1900,,20,12,0,0,,E Kollekteur,Kollekteur,M,,Kollekteur,lottery agent,,service and sales,service & sales,service & sales,service & sales,commerce & services,bourgeoisie,,,LMC,LMC,LMC,0,,,,,,,
105,als,0,1900,1900,,0,1,1,0,,Rummelle,"Hierotsvermittler, e windiger Kamerad",M,,Hierotsvermittler,marriage broker,,service and sales,service & sales,service & sales,service & sales,commerce & services,bourgeoisie,,,,LMC,LMC,1,,,,,,,
105,als,0,1900,1900,,0,2,1,0,,Fritz Wehmut,e sympatischer Mann mitte-n-in de drißig,M,,,,,,,,,,,,,,#N/A,,0,,,,,,,
105,als,0,1900,1900,,0,3,1,0,,Lina Wehmut,"geb. Schmidt, sini g'schiede Frau, e netti liewe Person",F,,,,,,,,,,,,,,#N/A,,0,,,,g'schiede Frau(2),separated wife(2),,
105,als,0,1900,1900,,0,4,1,0,,Madame Schmidt,"Mamme vun d'r vorige, resolüt, e Person, wie nit guet Kirche mit-ere ze-n-esse isch",F,,,,,,,,,,,,,,#N/A,,0,,,,Mamme(3),mother(3),,
105,als,0,1900,1900,,0,5,1,0,,General Smith,"e-n-amerikanischer Farmer, mitte-n-in de fuffzig, e originelli Erschienung",M,,Farmer,farmer,,agriculture,agriculture,agriculture,agriculture,agriculture,agriculture,,,LC,LC,LC,0,,,,,,,
105,als,0,1900,1900,,0,6,1,0,,Amélie Blitzig,"e Nähjere, älteri Jungfer, wi sich starik erüsputzt, um jünger ze schiene",F,,Nähjere,sewer,,,,,,,,,,LMC,UC,LMC,0,,,,,,,
105,als,0,1900,1900,,0,7,1,0,,Marie,"Magd bim Kummelle, hett 's Pulver nit erfunde",F,,Magd,housemaid,,elementary professions,elementary professions,elementary professions,elementary professions,elementary professions,elementary workers,,,LC,LC,LC,0,,,,Magd(1),maid(1),,
106,als,0,1910,1910,,0,1,1,0,,Dr. Albert Brandt,junger Arzt,M,,Arzt,doctor,,"professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical",liberal & scientific professions,bourgeoisie,,,UC,UC,UC,0,,,,,,,
106,als,0,1910,1910,,0,2,1,0,,Dr. Karl Keller,Privatdozent,M,,Privatdozent,professor,,"professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical",liberal & scientific professions,bourgeoisie,,,UC,UC,UC,0,,,,,,,
106,als,0,1910,1910,,0,3,1,0,,Berthe Neumann,,F,,,,,,,,,,,,,,#N/A,,0,,,,,,,
106,als,0,1910,1910,,0,4,1,0,,~/~ Lokomotivführer Neumann,,M,,Lokomotivführer,train driver,,industry and transportation,industry & transportation,industry & transportation,industry & transportation,bourgeoisie other,bourgeoisie,,,LMC,UMC,LMC,0,,,,,,,
106,als,0,1910,1910,,0,5,1,0,,Salome,Haushälterin bei Albert,F,, ,housekeeper,,elementary professions,elementary professions,elementary professions,elementary professions,elementary professions,elementary workers,,,LC,LC,LC,0,,,,Haushälterin(1),housekeeper(1),,
106,als,0,1910,1910,,0,6,1,0,,~/~ Fabrikant Kirchmann,aus Markirch,M,,Fabrikant,manufacturer,,industry and transportation,industry & transportation,industry & transportation,industry & transportation,bourgeoisie other,bourgeoisie,,,UMC,UMC,UMC,0,,,,,,,
107,als,1870,1860,1860,,10,1,1,0,,Herr Oubli,ein Gutsbesitzer,M,,Gutsbesitzer,farmer,,agriculture,agriculture,agriculture,agriculture,agriculture,agriculture,,,UMC,LC,UMC,0,,,,,,,
107,als,1870,1860,1860,,10,2,1,0,,Madame Oubli,seine Frau,F,,,,,,,,,,,,,,#N/A,,0,,,,Frau(1),wife(1),,
107,als,1870,1860,1860,,10,3,1,0,,Caroline,ihre Tochter,F,,,,,,,,,,,,,,#N/A,,0,,,,"Tochter(1,2)","daughter(1,2)",,
107,als,1870,1860,1860,,10,4,1,0,,Madame Werzina,eine Dame aus Straßburg,F,,,,,,,,,,,,,,#N/A,,0,,,,,,,
107,als,1870,1860,1860,,10,5,1,0,,Herr Albert Manuel,ein Rechtsgelehrter,M,,Rechtsgelehrter,jurist,,"professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical",liberal & scientific professions,bourgeoisie,,,UMC,UMC,UMC,0,,,,,,,
107,als,1870,1860,1860,,10,6,1,0,,Herr Hieronimus Stockmeyer,ein Hagestolz,M,,,,,,,,,,,,,,#N/A,,0,,,,,,,
107,als,1870,1860,1860,,10,7,1,0,,Selmel,Köchin bei Madame Oubli,F,,Köchin,cook,,service and sales,service & sales,service & sales,service & sales,commerce & services,bourgeoisie,,,LC,LC,LC,0,,,,Köchin(2),cook(2),,
107,als,1870,1860,1860,,10,8,1,0,,Jakob Sperling,Gärtner bei Herrn Oubli,M,,Gärtner,gardener,,agriculture,agriculture,agriculture,agriculture,agriculture,agriculture,,,LC,LC,LC,0,,,,Gärtner(1),gardener(1),,
108,als,0,1880,1880,,0,1,1,0,,Guschdav Nauelspitz,"gewesener Pfifferdreyer, jetzt rentier",M,,Rentier| gewesener Pfiffedreyer,rentier|smoking pipe maker,,rentiers,rentiers,rentiers,rentiers,rentiers,bourgeoisie,,,UC,UC,UC,0,,,,,,,
108,als,0,1880,1880,,0,2,1,0,,Madam Karlin Nauelspitz,"geboreni Mayfratz, syni Frau",F,,,,,,,,,,,,,,#N/A,,0,,,,Frau(1),wife(1),,
108,als,0,1880,1880,,0,3,1,0,,Emma Nauelspitz,"s' Kind, e charmanti Person",M,,,,,,,,,,,,,,#N/A,,0,,,,"Kind(1,2)","daughter(1,2)",,
108,als,0,1880,1880,,0,4,1,0,,Emile Howelspähn,e junger zwyfelhafter Epicier,M,,Epicier,grocer,,service and sales,service & sales,service & sales,service & sales,commerce & services,bourgeoisie,,,LMC,LMC,LMC,0,,,,,,,
108,als,0,1880,1880,,0,5,1,0,,Eugène Ansmännel,e photographe (élève vum Gerschel üs em diefe Keller),M,,Photographe,photographer,,intermediate professionals,intermediate professions,intermediate professions,intermediate professions,bourgeoisie other,bourgeoisie,,,LMC,LMC,LMC,0,,,,,,,
109,als,0,1930,1930,,0,1,1,0,,Rudolf von Greifenstein,"Etwa 35 Jahre alt. Schöne, edle Gestalt",M,,,,,,,,,,,,,,#N/A,,0,,,,,,,
109,als,0,1930,1930,,0,2,1,0,,Hugo von Greifenstein,"Dessen Brüder. Lehnsmann des Fürstbischoffs von Strassburg auf Hoh-Barr. Heftiges, heissblütiges Temperament. 28 Jahr etwa",M,,Lehnsmann des Fürstbischoffs,,,,,,,,,,,LMC,#N/A,LMC,0,,,,Brüder(1),brother(1),,
109,als,0,1930,1930,,0,3,1,0,,Walter von Wettolsheim,"Freund Hugo's, Edelknecht. Gleiches Alter",M,,Edelknecht,,,,,,,,,,,LC,#N/A,LC,0,,,,Freund(2),friend(2),,
109,als,0,1930,1930,,0,4,1,0,,Heinrich von Geroldseck,Etwa 40 Jahre alt,M,,,,,,,,,,,,,,#N/A,,0,,,,,,,
109,als,0,1930,1930,,0,5,1,0,,Konrad von Lichtenberg,Freund Rudolphs. ― Etwa 50 Jahre alt,M,,,,,,,,,,,,,,#N/A,,0,,,,Freund(1),friend(1),,
109,als,0,1930,1930,,0,6,1,0,,Achmed,"Emir von Jaffa. ― Edle, braune Gesichtszüge; trägt Turban. ― Kann gew. Ritterkleider oder türkische Kleider trager (weiter wiesser Mantel)",M,,Emir,,,government executive officials,government officials,government officials,government officials,government & law enforcement,authority,,,UC,#N/A,UC,0,,,,,,,
109,als,0,1930,1930,,0,7,1,0,7-8,Hassan,"erster Diener des Emirs } (Beide fast stumme Rollen). Turban, Hemd, Hosen, Gürtel, Dolch. Hassan, eine Peitsche",M,,erster Diener des Emirs,servant of the Emir,,elementary professions,elementary professions,elementary professions,elementary professions,elementary professions,elementary workers,,,LC,UMC,LC,0,,,,Diener(6),domestic worker(6),,
109,als,0,1930,1930,,0,8,1,0,,Suleiman,zweiter Diener,,,zweiter Diener des Emirs,servant of the Emir,,elementary professions,elementary professions,elementary professions,elementary professions,elementary professions,elementary workers,,,LC,UMC,LC,0,,,,Diener(6),domestic worker(6),,
109,als,0,1930,1930,,0,9,1,0,,Christian,Alter Holzhauer,M,,Holzhauer,woodcutter,,agriculture,agriculture,agriculture,agriculture,agriculture,agriculture,,,LC,LC,LC,0,,,,,,,
109,als,0,1930,1930,,0,10,1,0,,Toni,Junger Holzhauer. ― Im IV. Akt: Dienstmann,M,,Holzhauer,woodcutter,,agriculture,agriculture,agriculture,agriculture,agriculture,agriculture,,,LC,LC,LC,0,,,,,,,
109,als,0,1930,1930,,0,11,1,0,,Koch,"Ueber 50 Jahre alt, dick gutmütig, beschränkt (dumm); Bote des Bischofs: Kann im III. und IV. Akt als Soldat auftreten.",M,,Bote des Bischofs,messenger,,elementary professions,elementary professions,elementary professions,elementary professions,elementary professions,elementary workers,,,LC,LMC,LC,0,,,,,,,
109,als,0,1930,1930,,0,12,1,1,,Soldaten,"etwa 4; Lanzen, Schwerter, Helme (Feuerwehr) wenn möglich Schilde (Pappe). ― Nur 10 sprechenede Rollen. Die andern sind stumme oder fast Stumme Rollen. ",M,,Soldaten (4),soldier,,military,military,military,military,government & law enforcement,authority,,,LC,LC,LC,0,,,,,,,
110,als,1900,1870,1870,,30,1,1,0,,Herr TANNEZAPFE,Rentner,M,,Rentner,rentier,,rentiers,rentiers,rentiers,rentiers,rentiers,bourgeoisie,,,,UC,UC,1,,,,,,,
110,als,1900,1870,1870,,30,2,1,0,,Herr SCHLÜCH,Kàmifeger,M,,Kàmifeger,chimney sweep,,elementary professions,elementary professions,elementary professions,elementary professions,elementary professions,elementary workers,,,,UMC,UMC,1,,,,,,,
110,als,1900,1870,1870,,30,3,1,0,,Herr GAGER,Kàmifeger,M,,Kàmifeger,chimney sweep,,elementary professions,elementary professions,elementary professions,elementary professions,elementary professions,elementary workers,,,,UMC,UMC,1,,,,,,,
110,als,1900,1870,1870,,30,4,1,0,,Herr PAPEGAI,Kàmifeger,M,,Kàmifeger,chimney sweep,,elementary professions,elementary professions,elementary professions,elementary professions,elementary professions,elementary workers,,,,UMC,UMC,1,,,,,,,
110,als,1900,1870,1870,,30,5,1,0,,Marie,Käche vom Herr Tannezapfe,F,,Käche,cook,,service and sales,service & sales,service & sales,service & sales,commerce & services,bourgeoisie,,,,LC,LC,1,,,,Käche(1),cook(1),,
111,als,0,1870,1870,,0,1,1,0,,Herr SCHARFMESSER,Balwierer,M,,Balwierer,barber,,crafts,crafts,crafts,crafts,crafts,bourgeoisie,,,,LMC,LMC,1,,,,,,,
111,als,0,1870,1870,,0,2,1,0,,HANS,si Gsell,M,,Gsell,barber apprentice,,crafts,crafts,crafts,crafts,crafts,bourgeoisie,,,,UMC,UMC,1,,,,Gsell(1),business partner(1),,
111,als,0,1870,1870,,0,3,1,0,,Herr LINDERLÜESCHT,Fawrikant,M,,Fawrikant,manufacturer,,industry and transportation,industry & transportation,industry & transportation,industry & transportation,bourgeoisie other,bourgeoisie,,,,UMC,UMC,1,,,,,,,
111,als,0,1870,1870,,0,4,1,0,,Herr BEMOL,ne armer Klavierstimmer,M,,Klavierstimmer,piano tuner,,"professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical",liberal & scientific professions,bourgeoisie,,,,LMC,LMC,1,,,,,,,
111,als,0,1870,1870,,0,5,1,0,,PETER,ne Lehrbüe,M,,Lehrbüe,piano tuner apprentice,,"professionals, scientific, technical",crafts,crafts,crafts,crafts,bourgeoisie,,,,LMC,LMC,1,,,,,,,
111,als,0,1870,1870,,0,6,1,0,,Fraü SCHARFMESSER,im Balwierer si Fraü,F,,,,,,,,,,,,,,#N/A,,0,,,,Fraü(1),wife(1),,
111,als,0,1870,1870,,0,7,1,0,,Fraü HAGSCHEERE,ihre Frindin,F,,,,,,,,,,,,,,#N/A,,0,,,,Frindin(6),friend(6),,
111,als,0,1870,1870,,0,8,1,0,,Fraü SAGMÜHLE,ihre Frindin,F,,,,,,,,,,,,,,#N/A,,0,,,,Frindin(6),friend(6),,
112,als,0,1880,1880,,0,1,1,0,,Herr FISSELBOGE,Gigeprofesser,M,,Gigeprofesser,violin teacher,,"professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical",liberal & scientific professions,bourgeoisie,,,,UMC,UMC,1,,,,,,,
112,als,0,1880,1880,,0,2,1,0,,Herr HEITERWISS,Kunstmoler,M,,Kunstmoler,painter,,"professionals, scientific, technical",artists,artists,artists,artists,artists,,,,LMC,LMC,1,,,,,,,
112,als,0,1880,1880,,0,3,1,0,,Herr GITZKRAGE,dr Hüsmeister,M,,Hüsmeister,,,,service & sales,service & sales,service & sales,commerce & services,bourgeoisie,,,,#N/A,,0,,,,,,,
112,als,0,1880,1880,,0,4,1,0,,Herr KNOPFLOCH,schnider vom Herr,M,,schnider,taylor,,crafts,crafts,crafts,crafts,crafts,bourgeoisie,,,,LMC,LMC,1,,,,Schnider(3),tailor(3),,
112,als,0,1880,1880,,0,5,1,0,,Herr GRETELE,Modiste.Fisselboge,M,,Modiste,stylist,,intermediate professionals,intermediate professions,intermediate professions,intermediate professions,bourgeoisie other,bourgeoisie,,,,UMC,UMC,1,,,,Modiste(1),milliner(1),,
113,als,0,1880,1880,,0,1,1,0,,Herr FISSELBOGE,Müsikant,M,,Müsikant,musician,,"professionals, scientific, technical",artists,artists,artists,artists,artists,,,,LMC,LMC,1,,,,,,,
113,als,0,1880,1880,,0,2,1,0,,Herr SCHARFMESSER,Balwierer,M,,Balwierer,barber,,crafts,crafts,crafts,crafts,crafts,bourgeoisie,,,,LMC,LMC,1,,,,,,,
113,als,0,1880,1880,,0,3,1,0,,Herr GAGER,Kàmifeger,M,,Kàmifeger,chimney sweep,,elementary professions,elementary professions,elementary professions,elementary professions,elementary professions,elementary workers,,,,UMC,UMC,1,,,,,,,
113,als,0,1880,1880,,0,4,1,0,,Herr KNOPFLOCH,Lumpesammler,M,,Lumpesammler,scrap collector,,elementary professions,elementary professions,elementary professions,elementary professions,elementary professions,elementary workers,,,,LC,LC,1,,,,,,,
113,als,0,1880,1880,,0,5,1,0,,JEAN,Pfanneflicker,M,,Pfanneflicker,pot repairer,,crafts,crafts,crafts,crafts,crafts,bourgeoisie,,,,LMC,LMC,1,,,,,,,
113,als,0,1880,1880,,0,6,1,0,,FRANZ,Petrol-Hàndler,M,,Hàndler,merchant,,service and sales,service & sales,service & sales,service & sales,commerce & services,bourgeoisie,,,,LMC,LMC,1,,,,,,,
113,als,0,1880,1880,,0,7,1,0,,PETER,Gassewischer,M,,Gassewischer,sweeper,,elementary professions,elementary professions,elementary professions,elementary professions,elementary professions,elementary workers,,,,LC,LC,1,,,,,,,
113,als,0,1880,1880,,0,8,1,0,,Ne Orgelmann,Ne Orgelmann,M,,,organist,,"professionals, scientific, technical",artists,artists,artists,artists,artists,,,,UMC,UMC,1,,,,,,,
113,als,0,1880,1880,,0,9,1,0,,Fraü HAGSCHEERE,,F,,,,,,,,,,,,,,#N/A,,0,,,,,,,
113,als,0,1880,1880,,0,10,1,0,,Fraü SÀGMÜHLE,,F,,,,,,,,,,,,,,#N/A,,0,,,,,,,
113,als,0,1880,1880,,0,11,1,0,,Fraü DICKSACK,Gassewischere,F,,Gassewischere,sweeper,,elementary professions,elementary professions,elementary professions,elementary professions,elementary professions,elementary workers,,,,LC,LC,1,,,,,,,
113,als,0,1880,1880,,0,12,1,0,,Fraü ENTESCHNAWEL,Gassewischere,F,,Gassewischere,sweeper,,elementary professions,elementary professions,elementary professions,elementary professions,elementary professions,elementary workers,,,,LC,LC,1,,,,,,,
113,als,0,1880,1880,,0,13,1,0,,Fraü RATTEGIFT,Gassewischere,F,,Gassewischere,sweeper,,elementary professions,elementary professions,elementary professions,elementary professions,elementary professions,elementary workers,,,,LC,LC,1,,,,,,,
114,als,0,1880,1880,,0,1,1,0,,Herr EMIL HELDER,Moler,M,,Moler,painter,,"professionals, scientific, technical",artists,artists,artists,artists,artists,,,,LMC,LMC,1,,,,,,,
114,als,0,1880,1880,,0,2,1,0,,Herr FIX,si Nochber,M,,,,,,,,,,,,,,#N/A,,0,,,,Nochber(1),neighbour(1),,
114,als,0,1880,1880,,0,3,1,0,,Herr FINOT,ne alter Mariner,M,,alter Mariner,sailor,,intermediate professionals,industry and transportation,industry & transportation,industry & transportation,bourgeoisie other,bourgeoisie,,,,LMC,LMC,1,,,,,,,
114,als,0,1880,1880,,0,4,1,0,,ELISE,im Herr Fix si Tochter,F,,,,,,,,,,,,,,#N/A,,0,,,,Tochter(2),daughter(2),,
114,als,0,1880,1880,,0,5,1,0,,Fraü SIMON,Portnere un Stundemagd vom Herr Helder un vom Herr Fix,F,,Portnere un Stundemagd,doorwoman|domestic worker,,elementary professions,elementary professions,elementary professions,elementary professions,elementary professions,elementary workers,,,,UMC,UMC,1,,,,"Portnere un Stundemagd(1,2)","domestic worker(1,2)",,
115,als,0,1880,1880,,0,1,1,0,,Herr HIMMEL,Astronom,M,,Astronom,astronomer,,"professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical",liberal & scientific professions,bourgeoisie,,,,UMC,UMC,1,,,,,,,
115,als,0,1880,1880,,0,2,1,0,,JOSEPH KÜTZ,si Bedienter,M,,Bedienter,domestic worker,,elementary professions,elementary professions,elementary professions,elementary professions,elementary professions,elementary workers,,,,LC,LC,1,,,,Bedienter(1),assistant(1),,
115,als,0,1880,1880,,0,3,1,0,,Herr SILWER,,M,,,,,,,,,,,,,,#N/A,,0,,,,,,,
115,als,0,1880,1880,,0,4,1,0,,Ne Porte-Faix,,M,,porte-faix,porter,,elementary professions,elementary professions,elementary professions,elementary professions,elementary professions,elementary workers,,,,LC,LC,1,,,,,,,
115,als,0,1880,1880,,0,5,1,0,,KÀTELE,im Joseph si Fraü,F,,,,,,,,,,,,,,#N/A,,0,,,,Fraü(2),wife(2),,
115,als,0,1880,1880,,0,6,1,0,,Madame FRINDLIG,,F,,,,,,,,,,,,,,#N/A,,0,,,,,,,
115,als,0,1880,1880,,0,7,1,0,,Im Porte-faix si Fraü,Im Porte-faix si Fraü,F,,,,,,,,,,,,,,#N/A,,0,,,,Fraü(4),wife(4),,
116,als,0,1880,1880,,0,1,1,0,,Tante DOMINO,,F,,,,,,,,,,,,,,#N/A,,0,,,,,,,
116,als,0,1880,1880,,0,2,1,0,,ROSELE,ihre Nièce,F,,,,,,,,,,,,,,#N/A,,0,,,,Nièce(1),niece(1),,
116,als,0,1880,1880,,0,3,1,0,,Herr GALFING,dr Nochber vo dr Tante Domino,M,,,,,,,,,,,,,,#N/A,,0,,,,Nochber(1),neighbour(1),,
116,als,0,1880,1880,,0,4,1,0,,Herr ALFRED,Zuckerbäck,M,,Zuckerbäck,pastry baker,,crafts,crafts,crafts,crafts,crafts,bourgeoisie,,,,LMC,LMC,1,,,,,,,
116,als,0,1880,1880,,0,5,1,0,,Herr SAMÜEL,si Oncle,M,,,,,,,,,,,,,,#N/A,,0,,,,Oncle(4),uncle(4),,
116,als,0,1880,1880,,0,6,1,0,,TOM,e Neger,M,,,,,,,,,,,,,,#N/A,,0,,,,,,,
117,als,0,1880,1880,,0,1,1,0,,Herr REHRLE,Zitungsschriwer,M,,Zitungsschriwer,journalist,,"professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical",liberal & scientific professions,bourgeoisie,,,,UMC,UMC,1,,,,,,,
117,als,0,1880,1880,,0,2,1,0,,TONI,e Bür,M,,Bür,farmer,,agriculture,agriculture,agriculture,agriculture,agriculture,agriculture,,,,LC,LC,1,,,,,,,
117,als,0,1880,1880,,0,3,1,0,,BÀWELE,e Birene,M,,Birene,farmer,,agriculture,agriculture,agriculture,agriculture,agriculture,agriculture,,,,LC,LC,1,,,,,,,
118,als,0,1880,1880,,0,1,1,0,,Herr HECHT,G'schàftsmann,M,,G'schàftsmann,businessman,,service and sales,service & sales,service & sales,service & sales,commerce & services,bourgeoisie,,,,LMC,LMC,1,,,,,,,
118,als,0,1880,1880,,0,2,1,0,,Herr KÜCKÜCK,Seifesieder,M,,Seifesieder,soapmaker,,crafts,crafts,crafts,crafts,crafts,bourgeoisie,,,,UMC,UMC,1,,,,,,,
118,als,0,1880,1880,,0,3,1,0,,Herr PFLÀSTERLE,Dokter,M,,Dokter,doctor,,"professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical",liberal & scientific professions,bourgeoisie,,,,UC,UC,1,,,,,,,
118,als,0,1880,1880,,0,4,1,0,,Madame HECHT,,F,,,,,,,,,,,,,,#N/A,,0,,,,,,,
118,als,0,1880,1880,,0,5,1,0,,Fraü SUPPEDUNKE,,F,,,,,,,,,,,,,,#N/A,,0,,,,,,,
118,als,0,1880,1880,,0,6,1,0,,FINELE,,F,,,,,,,,,,,,,,#N/A,,0,,,,,,,
119,als,0,1880,1880,,0,1,1,0,,Herr SIESELSAFT,Dokter,M,,Dokter,doctor,,"professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical",liberal & scientific professions,bourgeoisie,,,,UC,UC,1,,,,,,,
119,als,0,1880,1880,,0,2,1,0,,Herr ZART,,M,,,,,,,,,,,,,,#N/A,,0,,,,,,,
119,als,0,1880,1880,,0,3,1,0,,Herr FINK,(Basson),M,,,,,,,,,,,,,,#N/A,,0,,,,,,,
119,als,0,1880,1880,,0,4,1,0,,Herr PFAFFEKÀPPLE,(Flöte),M,,,,,,,,,,,,,,#N/A,,0,,,,,,,
119,als,0,1880,1880,,0,5,1,0,,Herr BIF,(Saxophone),M,,,,,,,,,,,,,,#N/A,,0,,,,,,,
119,als,0,1880,1880,,0,6,1,0,,Herr DÜWACK,(Horn),M,,,,,,,,,,,,,,#N/A,,0,,,,,,,
119,als,0,1880,1880,,0,7,1,0,,Jumpfer SIESELSAFT,,F,,,,,,,,,,,,,,#N/A,,0,,,,Kind(1),daughter(1),,
120,als,0,1880,1880,,0,1,1,0,,Herr ROTHFUCHS,Tüechhàndler,M,,Tüechhàndler,textile merchant,,service and sales,service & sales,service & sales,service & sales,commerce & services,bourgeoisie,,,,LMC,LMC,1,,,,,,,
120,als,0,1880,1880,,0,2,1,0,,Herr FRITZ,si G'schàftsfiehrer,M,,G'schàftsfiehrer,manager,,intermediate professionals,intermediate professions,intermediate professions,intermediate professions,bourgeoisie other,bourgeoisie,,,,UMC,UMC,1,,,,G'schàftsfiehrer(1),manager(1),,
120,als,0,1880,1880,,0,3,1,0,,Herr ADOPLH,Reisender,M,,,,,,,,,,,,,,#N/A,,0,,,,,,,
120,als,0,1880,1880,,0,4,1,0,,E Commis,,M,,Commis,clerk,,elementary professions,intermediate professions,intermediate professions,intermediate professions,bourgeoisie other,bourgeoisie,,,,LMC,LMC,1,,,,,,,
120,als,0,1880,1880,,0,5,1,0,,JULIE ,im Fritz si Fraü,F,,,,,,,,,,,,,,#N/A,,0,,,,Fraü(2),wife(2),,
120,als,0,1880,1880,,0,6,1,0,,EMMA,ne Frindin vom Julie,F,,,,,,,,,,,,,,#N/A,,0,,,,Frindin(5),friend(5),,
121,als,0,1880,1880,,0,1,1,0,,HANS,,M,,,,,,,,,,,,,,#N/A,,0,,,,,,,
121,als,0,1880,1880,,0,2,1,0,,MARTI,,F,,,,,,,,,,,,,,#N/A,,0,,,,,,,
121,als,0,1880,1880,,0,3,1,0,,SEPPI,si Suhn,M,,,,,,,,,,,,,,#N/A,,0,,,,Suhn(2),son(2),,
121,als,0,1880,1880,,0,4,1,0,,BAWELE, im Hans si Tochter,F,,,,,,,,,,,,,,#N/A,,0,,,,Tochter(1),daughter(1),,
121,als,0,1880,1880,,0,5,1,0,,Dr Regisseur,,M,,Regisseur,movie director,,"professionals, scientific, technical",artists,artists,artists,artists,artists,,,,UMC,UMC,1,,,,,,,
122,als,0,1880,1880,,0,1,1,0,,Herr SCHNITZ,Spezereihàndler,M,,Spezereihàndler,spice merchant,,service and sales,service & sales,service & sales,service & sales,commerce & services,bourgeoisie,,,,UMC,UMC,1,,,,,,,
122,als,0,1880,1880,,0,2,1,0,,LISETTLE,si Tochter,F,,,,,,,,,,,,,,#N/A,,0,,,,Tochter(1),daughter(1),,
122,als,0,1880,1880,,0,3,1,0,,Herr MÜES,dr erste Commis,M,,Commis,clerk,,elementary professions,intermediate professions,intermediate professions,intermediate professions,bourgeoisie other,bourgeoisie,,,,LMC,LMC,1,,,,,,,
122,als,0,1880,1880,,0,4,1,0,,SCHAMBEDIS,dr Knecht,M,,Knecht,domestic helper,,elementary professions,elementary professions,elementary professions,elementary professions,elementary professions,elementary workers,,,,LC,LC,1,,,,,,,
122,als,0,1880,1880,,0,5,1,0,,Herr SPATZLE,dr Liebhawer vom Lisettle,M,,,,,,,,,,,,,,#N/A,,0,,,,Liebhawer(2),lover(2),,
123,als,0,1880,1880,,0,1,1,0,,Herr ALEXIS LIFTLING,,M,,,,,,,,,,,,,,#N/A,,0,,,,,,,
123,als,0,1880,1880,,0,2,1,0,,Herr GIGELE,si Oncle,M,,,,,,,,,,,,,,#N/A,,0,,,,Oncle(1),uncle(1),,
123,als,0,1880,1880,,0,3,1,0,,Jumpfer FINGERHÜET,Modiste,F,,Modiste,stylist,,intermediate professionals,intermediate professions,intermediate professions,intermediate professions,bourgeoisie other,bourgeoisie,,,,UMC,UMC,1,,,,,,,
123,als,0,1880,1880,,0,4,1,0,,Herr UNGEDULD,ihr Hochziter,M,,,,,,,,,,,,,,#N/A,,0,,,,Hochziter(3),fiancée(3),,
123,als,0,1880,1880,,0,5,1,0,,Herr FINGERHÜET,ihr Oncle,M,,,,,,,,,,,,,,#N/A,,0,,,,Oncle(3),uncle(3),,
123,als,0,1880,1880,,0,6,1,0,,Fraü STRUMPF,,F,,,,,,,,,,,,,,#N/A,,0,,,,,,,
124,als,0,1880,1880,,0,1,1,0,,Herr SCHNELL,,M,,,,,,,,,,,,,,#N/A,,0,,,,,,,
124,als,0,1880,1880,,0,2,1,0,,JETTELE,si Tochter,F,,,,,,,,,,,,,,#N/A,,0,,,,Tochter(1),daughter(1),,
